appid;recommendationid;original_review;error
105600;4850353;love it. most say it ripped off Minecraft ,but dont listen to them they have no idea how unique and amazing this game actualy is. 7.5/10;
105600;4531179;its pro;
105600;859623;"If you like Minecraft, platformers, and RPGs, this is a pretty cool combination of those things.
It's like a 2D Minecraft, with shops, tons of weapons and different themed places to explore, all randomly generated, and each area a different level of difficulty. Explore them to find lots of varied loot, mysterious objects, and sometimes even magical accessories that enable interesting abilities.
And it's only made better in multiplayer co-op! Build your world together with the materials you mine, tool yourselves up, and explore deep into the planet to find the ultimate treasures! Loads of fun.";
105600;3055409;Fun game!;
105600;160833;It's really not 2D MC but totally different game. It's like old 2D platform games come alive where you can shape the world in your own image! I hope devs can keep game fresh and add new content to keep old players happy :);
105600;1996607;Mine Craft is better;
105600;4672069;One of the best, if not the best, games I have ever found!!;
105600;3260029;Quirky, clean and crisp. Fun, addictive and totally worth it. It's like Minecraft, but not. It made a different genre of gaming. Terraria! I love those phaseblades.;
105600;1293888;This game is addicting. For just $10, it was well worth the price of admission!;
105600;4030948;"Great game! :D
If you've ever played minecraft its a lot like that but it has a lot more in depth stuff.. Its not just survival, at some point you need to get all your armor and upgrades and go out and show everyone whose boss!
I have some extra special items if you join and want to play with me! Its definitely worth the $9.99";
105600;3820408;"Tink, tink, tink, all day long. Tink, tink, tink while I recommend this...game.

Not Minecraft in 2D, fun all on it's own.

Fuck zombies.";
105600;4849899;"""One of the best games i have ever played"" 9/10!";
105600;2949137;MUST. DIG. MORE. HOLES.;
105600;2431110;Minecraft who....This is not a minecraft clone its a fantastic platformer. The game delivers surprises and challanges all the way. Superbly paced it will have you locked to your pc for many hours. Imanaged to compleate most of the game before using wiki to help i defonatly sugest you do the same spoiling this game by looking ahead should be crime punishable by death. Loved it buy it buy it right now i promise you wont be disapointed!;
105600;3709487;One of the best creative/adventure games released.  I love the co-op of the game, you can really work together to accomplish things.;
105600;4822700;This game = one character, full fill all server or single player;
105600;1246849;"You've probably heard all of the comparisons between Terraria and other games, how it's a little of this and a little of that. I won't bother repeating them. Instead, I'm going to tell you what all of those similarities MEAN as a complete package.

Terraria is a game for those who love to explore.  You will always find yourself wondering, ""what is just beyond this wall of dirt and rock? What is just out of sight? And you will dig some more, and maybe find a cavern or a treasure chest or some valuable ore or... death. And pretty soon, you will be hooked.

Terraria is also a game with therapeutic potential. Sure, anyone can build a shelter to protect them from monsters in a matter of seconds. In a minute or so, they can make one that meets the bare minimum requirements for attracting useful NPC vendors. What you may find yourself doing, however, is spending nearly an hour making yourself a picturesque little villa worth taking a screenshot of for your friend";
105600;1425312;If you like Old School RPGs and Minecraft... you'll probably love Terraria.;
105600;4040375;this is fun;
105600;1875891;I've never played Minecraft, but I'm loving Terraria.;
105600;1165003;yeah its good, Great game to waste time. You dont need the best pc to run this.;
105600;2874447;"Don't be fooled by the people calling this game a Minecraft clone.
This is a side scrolling, free roam game with crafting and heavy combat elements.
The combat in Minecraft simply doesn't compare.";
105600;3259389;So much win for so little money. Super Fun :);
105600;4393073;Good game but you may aswell buy Starbound instead.;
105600;4742792;Its the most amazing game EVER,;
105600;3425169;"I've nominated this game for the ""Test of Time"" award, because no matter what this game suddenly gets an update or I keep coming back to it.

Just when you think the updates are done for, and when the dev team splits or says they are done with updating it... They come back. It's probably my favorite game I've ever played, and has everything you need to keep you hooked for a long time.

I don't think I can think of an element of the game that is bad, from the soundtrack to the art of sprites, mechanics and the wide variety of weapons, armor, equipment, vanity items, building blocks so many you always discover a new one you didn't think existed before. Events, amazing biomes and world generation and exploration, pyramids, caves, undiscovered shrines and floating islands... I'm getting excited just by writing about it.

There is not a single person I wouldn't recommend this game to, specially with the low price and the constant sales it gets.

I think my playtime can say a lot, and I'm pretty sure it's going to start going up again, since just writing this review made me want to boot it up again and cancel all my plans tonight.";
105600;1251233;addictive;
105600;373782;Awesome.;
105600;2465286;This is teh SHitZ!;
105600;151022;2D Minecraft with a ridiculoulsly robust item pool.  Very fun with lots of places to go.  And you can build whatever you want!;
105600;3325879;"Where Minecraft got off, Terraria kept going. Magic, Guns, Collectibles, Bosses, Meteorites, etc! This game is lots of fun if you play it with friends, and it's so low-spec it would run on your toaster. Unlike Minecraft, the main focus is not about the digging, but the adventure.

For measly ten bucks it could easily challenge Magicka as far as the fun goes.";
105600;1546425;Fun times!;
105600;1023346;Best 5.99 spent in years, excellent little game online with other servers and hosting your own to your friends. you wont be dissapointed;
105600;1035638;"Yes, it is TOO minecraft 2d. However, it's simpler and more chalenging, plus it has DEMANS.

It's still kinda fun, and rather cheap. Plus, it's on steam.";
105600;2814099;Buy this game.;
105600;2286463;Best game ive played in a long time.. ive spend about 80 hours playing it.. and if you like this game youll love the game its based off of, MineCraft.;
105600;3673642;If you like Zelda, Minecraft this is the game for you.;
105600;4011801;"Minecraft + Metroid = Terraria

A superb sandbox game. Those familiar with Minecraft will probably want to check it out, and the same can be said to those unfamiliar with it. There is so much to do in Terraria! You can build and craft almost anything while fighting hordes of goblins or pesky slimes, explore a huge map with various biomes (environment specific areas, ranging from deserts to underground jungle or corrupted lands to forests) and epic boss fights every now and then with the numerous weapons you can create. A very charming game, it also includes a full multiplayer mode for co-op adventuring and building or intense PVP battles.

Graphics - 8/10
Soundtrack - 8/10
Replayability - 15/15
Gameplay - 12/15

Overall - 8.5/10";
105600;3404938;You build a house then die;
105600;4791283;Just one more block!;
105600;2280005;Dr. Octagonapus BLARGH!;
105600;4819678;Terraria is one of those games that you always had to check to see if it had been updated recently, and if it was, you just had to hop in and check things out. For an open-world building game, it's overflowing with character that sets it apart from other games in the genre. For a 2D, pixelated game, the art and animation is leagues above it's competition. The devs put their hearts into this game and you can tell that they enjoyed every minute of it, becuase it's fucking FUN.;
105600;4538687;I highly recommend this game. There is non stop action going on and hours of gameplay by yourself or with friends.;
105600;909827;"I don't think I have enough hours yet to say wether or not this game is worth it.. BRB in 600 more hours, must play more to find out if good.


update: 9 years later, I'm still trying to find out if the game is good. I'll put 1,000 more hours into the game now because of 1.4 to see. I've also been playing it on PS4 to see if it would help me find out if its good....... Must go now, play more.

Update 2024: I've returned, I've played at least 1,000 hours more since 2020, via console / phone / pc. I think the game is worthwhile! But to be sure I'll play some more and try some mods as well.  Will let you know what I find out.";
105600;4824467;THIS GAME IS FREAKING AWESOME!;
105600;1458633;"This game is epic.  It's like ""Ghouls and GhostS"" for the side scrolling action, but with all the building, crafting, loot drops and treasure hunting to do it keeps you busy.

**Update:  Haven't played in a while.  Now they have added so much stuff that when I load an old character an apocalpyse of bosses all spawn at once.  Good times.";
105600;4814332;Get This Game NOW!!;
105600;3660860;This is a really fun game, I seem to lose track of time while playing with my friends. I already have tons of cool gear and weapons and I thought that by the time I have most of the stuff, I'd  be bored. I was wrong. Now me and my friends are making a city with buildings hanging off of a floating island. If you haven't tried this game yet you need to buy it right now.  You're missing out.;
105600;4255218;It's like Metroid had a baby with Castlevania, and Minecraft was somehow in that threesome. Amazing game.;
105600;414458;So much gameplay in such a little package - well done!;
105600;1148571;Best purchase I ever made.;
105600;2120069;One of my favorite games ever.;
105600;1822808;Most people say it's like Minecraft only with one less dimension and a lot more weapons and tools to choose from. I wouldn't know because I haven't played Minecraft, but I have played this, and I like it. /recommend;
105600;3346713;"An even better version of Minecraft, yet cheaper AND in 2D! More enemies to kill, more items to collect and a whole better crafting system.
*Trollface*";
105600;2628212;c'est de la bombe...;
105600;3016424;Mario + Minecraft = Nuff' said.;
105600;352705;Smash. Loot. Build. Craft. Fight. Loot. Craft. Bash. Fly. Build. Break. Craft. Its fun, go on.;
105600;2788751;A must have game for EVERYONE!;
105600;2422683;Wow, this is much more fun then you would think it should be!;
105600;2537971;"I still remember the days it came out and everyone was calling it a 2D Minecraft clone, despite it pioneering its own genre. For 10$, Terraria was a pretty complete game back then. Simple, entertaining, long hours of fun guaranteed for a low entry price.

Ever since, the game has received a ton of content updates, all of which were delivered at no cost to the players. Compared to where it started, back when Hellstone was the endgame ore, the game has at least four times the amount of content and that's probably still selling it low. It partnered with a lot of games for crossovers, adding a bunch of flavor items that feel like they belong in the game and further improve the fun factor. 

A lovely and memorable soundtrack with (maybe not breathtaking, but still) pleasant pixel graphics. Dozens of viable character builds, lots of replayability and a modding scene. Tiny download, should run on pretty much anything.

It's one of my most satisfying purchases to date and certainly the most 'entertainment value + time spent to price' ratio.

Oh, and it has Steam-integrated multiplayer.

Re-Logic puts most of today's developers to shame. A must buy.";
105600;1798097;minecraft except you lose an entire dimension in the process of playing;
105600;3393136;Amazing minecraft like game... but more than minecraft!! crammed with tons of features and years worth of gameplay.. one word... amazing.;
105600;1705835;"Despite it's limited replay value Terraria is still good value for money. It borrows heavily in theme from Minecraft but certainly dials up the action element. Once you've killed the bosses and conquered all the Biomes though there's little reason to keep playing or start again.

Edit: 9 Years later. Wow did this game expand. There is now SO MUCH to do that I doubt most folks will even come close to finishing. When I first wrote this I had conquered the game and now as their last patch is deployed I prepare myself to do so again. Only this time I doubt it will take 90hrs... More like a few hundred to fully explore this now complete game!";
105600;3990330;"Mar. 2011
Never thought I'd have so much fun exploring such a simple world.

Nov. 2017
I just got back into playing this game again since five years back, and the game plays even better than before. There's so much more content, and I've just barely scratched the surface on this game.

Pros: 
+Lots of items to craft
+More ways to build
+Plenty of variety
+Events to keep the game interesting
+Expert mode is a good change of pace
+More game mechanics to fiddle around with

Cons:
-Although this is a sandbox game, one cannot go straight to the final boss, or whatever boss fight they choose. There are ""tiers"" in which some bosses must be taken down in order.
-No free mode for creative players to focus on purely building and crafting
-Events can get in the way while one is in the middle of construction.
-Enemy AI still gets stuck behind walls when there are clear visible paths to get to the player.

Terraria is a blast to play, and it certainly exceeded expectations since the last time I played it. Although I recommended this game when it was just starting out, not much more needs to be said now that many others have already given this game the thumbs up.";
105600;2606251;"Despite joining in on the the ignorant claims of this being a ""2D minecraft"" I quickly found out that this more of a randomly generated RPG which focuses on exploring, fighting and improving your stats. well worth the 10 bucks and I personally find it more enjoyable than minecraft ever was. Also multiplayer is awesome in this.";
105600;4571883;FRIGGING ADDICTIVE;
105600;874170;So funny !!! One of the best games ever !:D;
105600;2129928;steamで一番お値段以上のゲーム;
105600;3091817;"*= I'm going to give this another review after the 1.1 & 1.2 update for Terraria. =*

-Core Review-

Gameplay . 7 (with friends 9) = average 8
Music . 7
Art . 7
Mechanics . 8

Total . 7.5/10


-Nice Words-

If you like building, and platformers with a very arcade feel then this already may be just the game for you. It offers relatively solid fighting/movement mechanics with interesting mobs and very exciting bosses. Character customization is also incredibly high (for what the game is) giving you plenty of different pixels for your sprite character. Music is catchy, and will not cause ear bleeds, though I prefer my own tunes. Best of all, the team behind this game has a very good sense of humor and have provided many references to other games, and 'Easter eggs' to find. Better with friends, but hey, most games are.


-Personal Experience-

At first this game was fun, there is no denying that. I hopped on, got a server going (somehow) and played with my good friend Michael for about 100 hours. Exploring this game and all it had to offer was really something, I mean it was like Minecraft just with something more, special, about it. Trying really hard on bosses, (that were really challenging) and the like, using superior teamwork and strats to finally complete the game.

The problem with 1.0 is that it had trouble maintaining interest endgame. Sure it was fun to jump around the surface in all your gear killing slimes and building uninteresting houses over and over. However after a while this gets tiring, which is why I was extremely thankful for the 1.1 update.

1.1 Hardmode, awww yisss. Hardmode was fun, suddenly all of your top gear was suddenly worthless (almost) and you had to re-explore the game again. Albeit upgrading all the bosses and adding the new zone was really cool, it didn't hold my attention as long and I kind of forgot about it and moved on to playing other games.

I stayed inactive in Terraria for most of 1.2 occasionally hopping on with a couple of friends to do a challenge run or something. We would usually get bored half way through which means I never got to experience anything that was added after 1.2. At least, until recently.

A little after 1.2.4, on a cold stormy night (or something like that) my good friend asked me if I wanted to play Terraria again. We've played before and it was okay but never really something that got me hooked. Luckily for me, I recently ran out of games I was interested in playing at the moment. So that left Terraria, so I agreed and we started playing. After the long trek through most of the normal gearing, and some of the hardmode gearing something amazing happened. I found this game fun again.

1.2.4, was amazing. It was admittedly shorter than the other two (in terms of how long I played it for) but those short hours were exceedingly fun, fun enough to warrant buying this game several times over. I had a blast fighting all the new bosses with their interesting and unique mechanics and boy was Fishron a pain in the ass, but hey, after 30 or 40 attempts at his life I beat him, and the endgame gearing started again from there.

Around this time I developed a new sort of appreciation for this game. The kind you get after playing a game for years. It became a classic for me, something that was a (noticeable) chuck of my life. Definitely something that made the gamer that is myself today. 

At the end of it all, it left me with a strong feeling of wanting more. I did go around and play some other games that are very similar to this game in playstyle, but nothing really came close to providing the same experience this game did, and for that I thank you Terraria. I will for sure be waiting anxiously for the release of Terraria 1.3. Whether I update my review after that remains to be unknown...

*= 1.3 Update =*

1.3 came out for Terraria and I was extatic, unfortunately I was unable to play it for a couple months, however when I finally did I had a blast working my way through the game on expert mode, which was a nice change of pace, and almost revived the feelings I had when I first played and every boss was really challenging. 

Despite everything being challenging a couple of friends and I got through the pre 1.3 relatively quickly so there weren't any boring moments. Then came the anticipated 1.3 gameplay, and I have to say the last boss was super challenging for us, and we finally managed to best it after a couple tries. 

That being said it felt like there was surprisingly little update compared to the last two, which is understandable considering the focus of 1.3 was to improve a lot of the gameplay and inner works of the game than to add more content. The introduction of yoyo's was a really cool idea though, and I think they did a good job of introducing this new theme without it impeding on what the game already was. 

Although I think 1.3 might be the last major content update, I'm still wanting more, I personally would like to fight cthulu as a whole, that would be amurzin. For now, I'll just build around, mess with the new building items and such until I eventually move on to other games, until the fateful day Terraria lures me back into its grasp, or perhaps Terraria 2.





**= Old review =**

I have mixed feelings about this game. Its unusual. Fun, oh yes, it is completely awesome. Just? What the fuck do we do, after we have everything? There is no endgame (that was a complete lie there are three end game places you can go to the hellworld the dungeon and the jungle). But besides that, It dosn't really work as a building game, making the actual ""end-game"" not all the fun. 

Im giving it a steady 7 - 10...";
105600;2178423;its not 2d minecraft i swear;
105600;716723;Not just a Minecraft clone, but a game in its own right. As opposed to Minecraft's focus on building, Terraria utilises the same exploration for resources so you can explore further and deeper into a very difficult, dangerous world. Great multiplayer!;
105600;1912335;It's like Minecraft, plus everything you wish was happeneing in Minecraft, plus tight platforming, plus huge bosses, on crack. No tameable wolf, but seriously, there's lightsabers and clawshots. Seriously.;
105600;2513031;This is the most addicting game I have ever played, and I love every minute of it!;
105600;4412094;I can assure you that you will not regret buying this fun packed action sandbox game !!! It is not a Minecraft clone in fact it is light years away from being that. It is very fun and addictive, but especially if you play it with friends. So get the 4 pack !!!;
105600;1185629;Esse jogo é muito viciante de fato, atualmente é melhor que minicraft tem monstros mais interessantes e é muito mais facil de fazer as coisas;
105600;4836356;Adictive O_O;
105600;4828805;Constant discovery around every corner.;
105600;4737167;GET IT!!!!!!!!!!!!!!!!;
105600;714880;I was pleasantly surprised by Terraria.  This 2D adventure/building/mining game is set in huge, randomly-generated worlds (hence all the Minecraft comparisons), but it stands on its own and contains quite a few new ideas to boot.  It can be a little unforgiving early on, but your character (and his/her inventory) carries over to new worlds.  I've only played for a little while, but it's addictive as hell and the multiplayer promises to compound that fun quite a bit.  Pick this one up.;
105600;726743;Burnout Empire;
105600;4466572;Great game I play it for hours  & don't get bored I HIGHLY reccomend this to people;
105600;2056543;This game is great, loads to do and fun multiplayer;
105600;4834044;THIS GAME RULES!;
105600;1157687;Metroid + Castlevania + Minecraft + Glory;
105600;1275273;Fun good old platforming in 2d what more could you ask.;
105600;16878;It's like digging for crack!;
105600;4343957;Great game with endless possibilities. Dig, explore, build and conquer.;
105600;2578924;Holly Balls, this game is so fun to play with friends! you can venture around in caves or fight huge bosses!;
105600;4227558;"どことなく○○○クラフトに似ているように見えるでしょう。
ところがいざやってみるとマインクラフトのような作業感が全く
感じられず、どことなくゼルダの伝説をアート的に改造した。そんな
イメージではないだろうか。
このゲームの感想はやっている者にしか感じられないですが、特徴として
1日7時間くらいはやっていけるところではないでしょうか。
あれ？マイン○○○○？";
105600;2054729;Very long and fun... being constantly updated.. Definitly worth 10 bucks;
105600;1240058;Minecraft in 2D pretty much, but I find this slightly more enjoyable than Minecraft;
105600;346772;Less autism than Minecraft, much more combat. Prepare to grind. Easily worth $10.;
105600;99382;Like 2D Minecraft but better with lots of loot!;
105600;1420503;So epic;
105600;1923270;FUCKING BUY THIS NOW.;
105600;4757117;DO IT;
105600;3355217;love minecraft? love zelda? if you do buy this game;
105600;2310774;This game is the amazing!  If you like Minecraft, you'll love this.;
105600;4800881;Terraria is a great game!  It's a 2D platform, exploration, adventure game.  You can't get tired of this game!;
105600;1893005;"This game made me creme' fraiche my jeans
";
105600;4690511;pretty fun;
105600;3669461;It's awesome! Love it;json_decode
105600;681560;$30 shared among 4 friends is worth every cent;
105600;4813356;This game is cool.;json_decode
105600;586447;Get this game it's total awesomeness!;
105600;248299;Great game. Easy to learn, difficult to master. Raise your first boss and you'll fall in love!;
105600;3545401;"Similar to MineCraft. More oriented torwards adventuring than building.
5/5";
105600;1218800;"This game is awesome. Nuff said

In all seriousness though if my playtime can attest for anything it's that this game has a lot to offer for the small price you have to pay. Even with over 300 hours I still feel like I havn't done everyting this game has to offer.";
105600;899717;AWESOME GAME!;
105600;1771483;Wow this game is fun and enjoyable. Much better when playing with others too! Needs more content, but it's comming!;
105600;1323762;Come join me in my adventure =D;
105600;2507285;Extremely addictive sandbox world rpg.  Don't let the graphics or small size fool you.  The game will randomly generate worlds (which can be as big as the base install).;
105600;308881;2d minecraft fuckshit up;json_decode
105600;996410;Terraria has the feeling of a wonderfully open-world classic 8-bit adventure game.  You have a lot of freedom to create, a lot of exciting exploration, and its easy to port-forward and set up a server for your friends.  One of the greatest things in Terraria is to see what other people decide to add to the world.  Another great thing is exploring the boundaries of the randomly generated world, and being rewarded for it.  Although beating the bosses requires some exceptional equipment and preparation, there is almost nothing you will decide to do that you will regret in this game.  Dying has the unhappy disadvantage of dropping half your money, but you don't drop equipment, and your money will stay where you died unless you quit (or your server quits).  Overall, I think it's a shame more games with such excellent game design don't come out.  Come on, would you rather be blowing up evil alien robots with weapons of mass destruction, or digging?  The choice seems obvious to me.;
105600;4802533;This game carries. Logged 18 hours in 2 days its amazing just shut the fuck up and buy it;
105600;674256;"Hmm where do I start? Having played a lot of Minecraft I can draw a lot of similarities and differences between the two. In short, if you’ve played Minecraft and would enjoy a more involved co-op experience along with a PvE aspect to the game then Terraria is not a bad choice especially for the price range it resides in. Also, your Terraria character can be brought to any world with all stats and inventory intact which is a nice feature for adventuring solo and also with buddies down the road.

There’s just so much more to do in Terraria. I like how they’ve tiered the content by having you get or make the proper equipment, tools, and npcs before heading to the next tier. Some interesting things are making rooms fitting a certain criteria for npcs to spawn and the boatload of items with awesome effects.";
105600;707964;"Are you a fan of retro styled 2D platforming action?  Like to sculpt your own worlds?  Enjoy hunting for treasure in large, randomly generated environments?  Buy this game, buy copies for your friends, have fun. :P

The game was good when it released.  Since then, it has received some major content patches and the game has only gotten better really.  There are a lot more things to find and environments to explore than there were originally.

Really the only thing hampering this game is its lack of integration of Steam features such as achievements and the workshop.  But that in no way makes for a dull game experience.";
105600;1791525;OMF!!1 MINECARFT COPY!!1! 2D MINEVRAFT!!!!!!!!!!!!!!!!!!!!!!!!!!!! DISS SUX MEINCRAFT IS BETTERR!;
105600;4803236;BUY IT;
105600;1354722;Probably one of the best 10 dollars games I've ever gotten.;
105600;1599288;"I paid 7.50 for this in 2011.

I feel like I ripped the developers off,  I actually feel like a thief.";
105600;655143;Minecraft-esque 2d game, with less emphasis on building and more focus on an  item-centric driven meta game of becoming a more powerful character through differant items, great fun multiplayer;
105600;894517;"Terraria is a fun 2D side-scroller game that has the same sandbox fun as minecraft, It shares alot with it's 3D spitual cousin. The power to build houses the way you want, Exploring a randomly generated map that just keep going. But some of the differences are that some of the randomly generated dungeons have some tuff bosses, and some nice loot to boot.
Also being able to create a small town of NPC's to help you is a nice bonus.

It's a fun little cheap game that's worth the few bob to get.";
105600;2065795;Best game Evar!;
105600;4823777;Get this game or you'll regret ever living.;
105600;84851;SO GOOD;
105600;2643338;Pretty awesome.  Fun sandbox game with RPG and adventure elements.  Easy to learn as you play.  Hurry up and buy it so we can join a server together.;
105600;3751635;Best indie game!;
105600;4795256;Kiss your summer goodbye.;
105600;674809;Buy this game. Buy it now. No questions just fucking do it. Metriodvania + Minecraft? YES PLEASE!;
105600;1367137;It is totally worth the price.;
105600;2559027;"Really well made. Having had this game in my Steam library for the past 10 years it's suffice to say that a lot of adventures has been had, and many hours put in. 

Loved it then, still love it now. And that won't change anytime soon. Get the game, even after they promise for the 9th time to release the 'last update'. ;)";
105600;1380100;one of the best rpg,building,crafting game i ever payed so far well worth the money;
105600;3607093;This game is very addictive!;
105600;1872992;Nice game.. Kida.. Addictive? XD;
105600;2849953;"
";
105600;2823938;"Despite not having nearly as many 'Steam' hours as some of the other reviewers here, I believe that my say as someone whom has had the opportunity to watch (and play) Terraria ever since the leak of it's alpha back in 2011- that hands down, the experience Terraria brings to the table, is much more satisfying and consistant than any other title I've touched. 

Core Gameplay: 10/10- ""Core"" meaning the progression through different 'stages' within the game. There's literally no set boundaries for beating Terraria, which in my opinion, gives way to near-inifinite replayability. If you want to skip an early boss or two, fine by Terraria- If you don't want to bother collecting any specific ore for it's respective armor, Terraria wont hold it against you- This is a game that you could do nothing but build, and still have hundreds of hours of gameplay.

INC.";
105600;627610;Its Minecraft Meets 2D;
105600;1278986;"""Man this game is fucking lame"" *Scrolls to axe* ""How the fuck am I supposed to use this?"" *Chops tree down* ""THIS GAME IS FUCKING AMAZING!""";
105600;1626904;Minecraft killer. 'Nuff said.;
105600;4537324;"cool
";
105600;947847;Minecraft 2D;
105600;4643444;Terraria is a fantastic indie game which roots run deep in the old-style D&D games and has a larger combat and adventure orientation than the likes of Minecraft. Featuring bosses, upgradable items, special items, magic spells/weapons and abilities, Terraria is a playful environment.;
105600;3039682;Just check your friends list for how many own it, that should make your mind up if it's worth it. (hint: yes it is);
105600;825275;"Incredibly addicting. Well worth the $10 if you like an intuitive adventure game. It is minecraft environmented yet an adventure game like zelda in the sense of finding armor and weapons. The only gripe I have is that since it is 2D I am HOPING that extra content/updates are regular enough to consider playing the game after a few weeks.

Edit: To add to my review. Content has been updated and to the extent that the original game is just a small part of the much larger picture now. The game developers have consistently patched this game with not only bug fixes but huge amount of additional content that most other game companies would sell as add-on packs or DLCs. This game is awesome!";
105600;3980020;BEST 2D GAME EVER I PLAYED. buy it;
105600;2289708;"So coming back to this so many years, glad to say Terraria is still being developed and worked on. This game is an endless battle mostly, always working for the bigger and better loot, to take on bigger and badder baddies.

I already bought like 10 copies, played the game tons.

You should buy it, you will get so much worth for your 10 bucks.

This game is the true labour of love! Bought it for switch as well.

GIVE THIS GAME THE Labour of love ALREADY!";
105600;860104;"Normal pre-hardmode is fun as hell, with lots of stuff to collect.

Hardmode though? Becomes extremely frustrating, dying all the time, farming for everything, and yet still i can't kill any of the mechanical bosses. Here is where i quit, most likely.";
105600;233729;DIG!!! FIGHT!! DIG!! FIGHT!!!  AAAAARGH CTHULU!!;
105600;4799761;"great game very awesome
";
105600;4072648;"I would give a mixed review if I could, but I can't. So in lieu of that, a temporary negative review; the game is decent, and the updates are good, but I find it intensely disrespectful that the developer thought the best response to folks who don't like the instant-kill underground traps, was to troll them with a seed that makes things worse.

Being frustrated with a game is a normal thing, and game design should seek to alleviate that, not aggravate it for a cheap laugh at another's expense.";
105600;2217202;What you need to do is just look at it!;
105600;926668;"Minecraft + Castlevania + Super Mario Bros + Metroid = Awesome!

How much more could you want?";
