appid;recommendationid;aspect;labels
105600;4730461;beautiful graphics;Graphics
105600;4730461;vast immersive world;Story
105600;4730461;vast immersive world;Gameplay
105600;4730461;great soundtrack;Music
105600;3165431;fun gameplay;Gameplay
105600;3165431;addictive gameplay;Gameplay
105600;3165431;good value for money;Price
105600;364888;awesome gameplay;Gameplay
105600;364888;great multiplayer;Multiplayer
105600;4762833;tons of content;Other
105600;4762833;regular updates;Updates
105600;4762833;fun metroidvania gameplay;Gameplay
105600;4762833;huge worlds to explore;Gameplay
105600;4762833;many fighting and building possibilities;Gameplay
105600;4762833;many fighting and building possibilities;Innovation
105600;4762833;good mod support;Other
105600;1643178;magic elements;Other
105600;1643178;shiny visuals;Graphics
105600;3619561;great developer;Other
105600;3619561;constantly improving;Updates
105600;3619561;constantly improving;Optimization
105600;3619561;relaxing or intense gameplay;Gameplay
105600;1188968;beautiful graphics;Graphics
105600;1188968;engaging story quests;Story
105600;1481657;similar to Minecraft;Other
105600;1481657;awesome gameplay;Gameplay
105600;4814716;good gameplay;Gameplay
105600;4850353;unique gameplay;Gameplay
105600;4850353;unique gameplay;Innovation
105600;4531179;engaging new story content;Story
105600;4531179;engaging new story content;Updates
105600;4531179;fantastic soundtrack;Music
105600;859623;2D Minecraft-like gameplay;Gameplay
105600;859623;2D Minecraft-like gameplay;Innovation
105600;859623;variety of weapons;Gameplay
105600;859623;themed areas with varying difficulty;Gameplay
105600;859623;themed areas with varying difficulty;Story
105600;859623;randomly generated worlds;Gameplay
105600;859623;randomly generated worlds;Innovation
105600;859623;interesting loot and magical accessories;Gameplay
105600;859623;interesting loot and magical accessories;Innovation
105600;859623;multiplayer co-op;Multiplayer
105600;859623;multiplayer co-op;Gameplay
105600;3055409;engaging story quests;Story
105600;3055409;improved graphics;Graphics
105600;3055409;improved graphics;Updates
105600;160833;unique gameplay;Gameplay
105600;160833;unique gameplay;Innovation
105600;160833;world shaping;Gameplay
105600;160833;world shaping;Innovation
105600;1996607;new items;Other
105600;1996607;great soundtrack;Music
105600;1996607;engaging story missions;Story
105600;1996607;engaging story missions;Gameplay
105600;4672069;great game;Other
105600;3260029;quirky and clean design;Graphics
105600;3260029;quirky and clean design;Innovation
105600;3260029;fun and addictive gameplay;Gameplay
105600;3260029;unique game genre;Innovation
105600;3260029;enjoyable phaseblades;Gameplay
105600;1293888;addictive gameplay;Gameplay
105600;1293888;good value for money;Price
105600;4030948;similar to Minecraft;Other
105600;4030948;in-depth gameplay beyond survival;Gameplay
105600;4030948;in-depth gameplay beyond survival;Innovation
105600;4030948;worth the price;Price
105600;3820408;fun gameplay;Gameplay
105600;4849899;great gameplay;Gameplay
105600;2431110;unique platformer;Gameplay
105600;2431110;unique platformer;Innovation
105600;2431110;surprises and challenges throughout;Gameplay
105600;2431110;surprises and challenges throughout;Story
105600;2431110;well-paced gameplay;Gameplay
105600;2431110;enjoyable to play for many hours;Gameplay
105600;2431110;worth buying;Price
105600;3709487;creative and engaging gameplay;Gameplay
105600;3709487;creative and engaging gameplay;Innovation
105600;3709487;enjoyable co-op experience;Gameplay
105600;3709487;enjoyable co-op experience;Multiplayer
105600;1246849;exploration and discovery;Gameplay
105600;1246849;therapeutic building mechanics;Gameplay
105600;1246849;therapeutic building mechanics;Innovation
105600;1425312;Old School RPG elements;Gameplay
105600;1425312;Old School RPG elements;Story
105600;1425312;Minecraft-like gameplay;Gameplay
105600;1425312;Minecraft-like gameplay;Innovation
105600;4040375;fun;Other
105600;1875891;enjoying Terraria;Other
105600;1165003;good for wasting time;Other
105600;1165003;runs on low-end PCs;Optimization
105600;2874447;heavy combat;Gameplay
105600;2874447;superior combat compared to Minecraft;Gameplay
105600;2874447;superior combat compared to Minecraft;Innovation
105600;3259389;fun;Other
105600;4742792;beautiful graphics;Graphics
105600;4742792;engaging story quests;Story
105600;3425169;frequent updates;Updates
105600;3425169;high replayability;Gameplay
105600;3425169;great soundtrack;Music
105600;3425169;beautiful sprite art;Graphics
105600;3425169;variety of weapons, armor, equipment, vanity items, building blocks;Gameplay
105600;3425169;variety of weapons, armor, equipment, vanity items, building blocks;Innovation
105600;3425169;amazing biomes and world generation;Story
105600;3425169;amazing biomes and world generation;Innovation
105600;3425169;exciting exploration;Gameplay
105600;3425169;low price;Price
105600;3425169;constant sales;Price
105600;3425169;constant sales;Updates
105600;1251233;engaging story quests;Story
105600;1251233;improved graphics;Graphics
105600;1251233;improved graphics;Updates
105600;373782;engaging story missions;Story
105600;373782;engaging story missions;Gameplay
105600;373782;improved graphics;Graphics
105600;373782;improved graphics;Updates
105600;2465286;nice graphics;Graphics
105600;2465286;engaging story;Story
105600;2465286;fantastic soundtrack;Music
105600;2465286;fun multiplayer;Multiplayer
105600;2465286;fun multiplayer;Gameplay
105600;151022;robust item pool;Gameplay
105600;151022;robust item pool;Innovation
105600;151022;fun gameplay;Gameplay
105600;151022;many locations to explore;Gameplay
105600;151022;freedom to build;Gameplay
105600;151022;freedom to build;Innovation
105600;3325879;more content than Minecraft;Other
105600;3325879;fun with friends;Multiplayer
105600;3325879;fun with friends;Other
105600;3325879;low system requirements;Optimization
105600;3325879;focus on adventure;Gameplay
105600;3325879;focus on adventure;Story
105600;1546425;engaging story missions;Story
105600;1546425;engaging story missions;Gameplay
105600;1546425;improved visuals;Graphics
105600;1546425;improved visuals;Updates
105600;1023346;affordable price;Price
105600;1023346;good online multiplayer;Multiplayer
105600;1023346;hosting for friends;Multiplayer
105600;1035638;simple gameplay;Gameplay
105600;1035638;challenging;Gameplay
105600;1035638;demanding;Other
105600;1035638;cheap price;Price
105600;1035638;available on Steam;Other
105600;2814099;beautiful graphics;Graphics
105600;2814099;engaging story;Story
105600;2814099;vast and interesting world;Story
105600;2286463;enjoyable gameplay;Gameplay
105600;2286463;long playtime;Other
105600;4011801;similar to Minecraft;Other
105600;4011801;plenty of things to do;Gameplay
105600;4011801;building and crafting variety;Gameplay
105600;4011801;building and crafting variety;Innovation
105600;4011801;various biomes to explore;Gameplay
105600;4011801;various biomes to explore;Story
105600;4011801;epic boss fights;Gameplay
105600;4011801;diverse weapons;Gameplay
105600;4011801;diverse weapons;Innovation
105600;4011801;charming game design;Other
105600;4011801;full multiplayer mode;Multiplayer
105600;4791283;good soundtrack;Music
105600;2280005;improved graphics;Graphics
105600;2280005;improved graphics;Updates
105600;2280005;great new character models;Graphics
105600;2280005;great new character models;Updates
105600;4819678;frequent updates;Updates
105600;4819678;unique character and charm;Story
105600;4819678;unique character and charm;Innovation
105600;4819678;beautiful art and animation;Graphics
105600;4819678;fun gameplay;Gameplay
105600;4538687;non-stop action;Gameplay
105600;4538687;hours of solo gameplay;Gameplay
105600;4538687;hours of solo gameplay;Multiplayer
105600;4538687;multiplayer fun;Multiplayer
105600;4538687;multiplayer fun;Gameplay
105600;909827;game is worth it;Price
105600;909827;enjoyable gameplay;Gameplay
105600;4824467;awesome game;Other
105600;1458633;side-scrolling action;Gameplay
105600;1458633;building and crafting mechanics;Gameplay
105600;1458633;building and crafting mechanics;Innovation
105600;1458633;loot drops and treasure hunting;Gameplay
105600;1458633;loot drops and treasure hunting;Story
105600;4814332;engaging new story missions;Story
105600;4814332;engaging new story missions;Gameplay
105600;4814332;improved graphics;Graphics
105600;4814332;improved graphics;Updates
105600;3660860;fun gameplay;Gameplay
105600;3660860;losing track of time while playing;Gameplay
105600;3660860;cool gear and weapons;Gameplay
105600;3660860;cool gear and weapons;Innovation
105600;3660860;interesting building mechanics;Gameplay
105600;3660860;interesting building mechanics;Innovation
105600;4255218;unique gameplay blend;Gameplay
105600;4255218;unique gameplay blend;Innovation
105600;414458;compact size with lots of gameplay;Gameplay
105600;414458;compact size with lots of gameplay;Other
105600;1148571;beautiful graphics;Graphics
105600;1148571;great soundtrack;Music
105600;1148571;engaging story additions;Story
105600;1148571;engaging story additions;Updates
105600;2120069;engaging story;Story
105600;2120069;memorable characters;Story
105600;2120069;vast world with secrets;Gameplay
105600;2120069;vast world with secrets;Story
105600;2120069;engaging combat system;Gameplay
105600;2120069;beautiful graphics;Graphics
105600;1822808;many weapons and tools;Gameplay
105600;1822808;enjoyable gameplay;Gameplay
105600;3346713;cheaper than Minecraft;Price
105600;3346713;more enemies;Gameplay
105600;3346713;more enemies;Story
105600;3346713;more items to collect;Gameplay
105600;3346713;more items to collect;Innovation
105600;3346713;better crafting system;Gameplay
105600;3346713;better crafting system;Innovation
105600;2628212;new map;Other
105600;2628212;improved graphics;Graphics
105600;2628212;improved graphics;Updates
105600;352705;fun gameplay;Gameplay
105600;2422683;fun gameplay;Gameplay
105600;2537971;pioneered its own genre;Innovation
105600;2537971;low entry price for a complete game;Price
105600;2537971;regular free content updates;Updates
105600;2537971;crossovers with other games;Innovation
105600;2537971;crossovers with other games;Other
105600;2537971;pleasant pixel graphics;Graphics
105600;2537971;memorable soundtrack;Music
105600;2537971;dozens of viable character builds;Gameplay
105600;2537971;dozens of viable character builds;Innovation
105600;2537971;high replayability;Gameplay
105600;2537971;active modding scene;Other
105600;2537971;small download size;Optimization
105600;2537971;small download size;Other
105600;2537971;Steam-integrated multiplayer;Multiplayer
105600;2537971;Steam-integrated multiplayer;Innovation
105600;3393136;tons of features;Other
105600;3393136;years of gameplay;Gameplay
105600;3393136;years of gameplay;Other
105600;1705835;good value for money;Price
105600;1705835;action-packed gameplay;Gameplay
105600;1705835;expanded content over the years;Updates
105600;3990330;fun exploration;Gameplay
105600;3990330;lots of crafting items;Gameplay
105600;3990330;lots of crafting items;Innovation
105600;3990330;variety in gameplay;Gameplay
105600;3990330;interesting events;Story
105600;3990330;interesting events;Gameplay
105600;3990330;expert mode;Other
105600;3990330;many game mechanics;Gameplay
105600;2606251;randomly-generated RPG;Gameplay
105600;2606251;randomly-generated RPG;Innovation
105600;2606251;exploring;Gameplay
105600;2606251;fighting;Gameplay
105600;2606251;improving stats;Gameplay
105600;2606251;improving stats;Optimization
105600;2606251;affordable price;Price
105600;2606251;enjoyable gameplay;Gameplay
105600;2606251;great multiplayer;Multiplayer
105600;874170;very funny;Other
105600;874170;one of the best games ever;Other
105600;3091817;fun gameplay;Gameplay
105600;3091817;solid fighting and movement mechanics;Gameplay
105600;3091817;interesting mobs and exciting bosses;Gameplay
105600;3091817;interesting mobs and exciting bosses;Story
105600;3091817;high character customization;Gameplay
105600;3091817;high character customization;Innovation
105600;3091817;catchy music;Music
105600;3091817;good sense of humor in game design;Story
105600;3091817;good sense of humor in game design;Other
105600;3091817;many references to other games;Story
105600;3091817;many references to other games;Other
105600;3091817;enjoyable with friends;Multiplayer
105600;3091817;enjoyable with friends;Gameplay
105600;3091817;challenging bosses;Gameplay
105600;3091817;fun endgame content after updates;Gameplay
105600;3091817;fun endgame content after updates;Updates
105600;3091817;unique mechanics for new bosses;Gameplay
105600;3091817;unique mechanics for new bosses;Innovation
105600;3091817;expert mode difficulty;Gameplay
105600;3091817;new building items;Gameplay
105600;3091817;new building items;Updates
105600;716723;unique gameplay;Gameplay
105600;716723;unique gameplay;Innovation
105600;716723;resource gathering for exploration;Gameplay
105600;716723;dangerous world;Story
105600;716723;great multiplayer;Multiplayer
105600;1912335;huge bosses;Gameplay
105600;1912335;lightsabers;Other
105600;1912335;clawshots;Gameplay
105600;1912335;clawshots;Innovation
105600;2513031;addictive gameplay;Gameplay
105600;4412094;fun and addictive gameplay;Gameplay
105600;4412094;great multiplayer experience;Multiplayer
105600;4412094;great multiplayer experience;Gameplay
105600;1185629;addictive gameplay;Gameplay
105600;1185629;interesting monsters;Story
105600;1185629;interesting monsters;Gameplay
105600;1185629;easy to do things;Gameplay
105600;1185629;easy to do things;Optimization
105600;4836356;fantastic soundtrack;Music
105600;4836356;great voice acting;Music
105600;4836356;great voice acting;Story
105600;4737167;engaging story missions;Story
105600;4737167;engaging story missions;Gameplay
105600;4737167;improved graphics;Graphics
105600;4737167;improved graphics;Updates
105600;714880;huge randomly-generated worlds;Gameplay
105600;714880;huge randomly-generated worlds;Innovation
105600;714880;new gameplay ideas;Gameplay
105600;714880;new gameplay ideas;Innovation
105600;714880;inventory and character persist across worlds;Gameplay
105600;714880;inventory and character persist across worlds;Innovation
105600;714880;addictive gameplay;Gameplay
105600;714880;promising multiplayer;Multiplayer
105600;726743;fast-paced action;Gameplay
105600;726743;stunning graphics during chases;Graphics
105600;726743;stunning graphics during chases;Gameplay
105600;726743;great soundtrack;Music
105600;4466572;enjoyable gameplay;Gameplay
105600;2056543;lots of content;Other
105600;2056543;fun multiplayer;Multiplayer
105600;2056543;fun multiplayer;Gameplay
105600;4834044;stunning graphics;Graphics
105600;4834044;smooth gameplay mechanics;Gameplay
105600;4834044;smooth gameplay mechanics;Optimization
105600;4834044;amazing soundtrack;Music
105600;1275273;fun 2D platforming;Gameplay
105600;16878;beautiful graphics;Graphics
105600;16878;great soundtrack;Music
105600;16878;engaging story;Story
105600;4343957;endless possibilities;Other
105600;4343957;digging;Gameplay
105600;4343957;digging;Innovation
105600;4343957;exploring;Gameplay
105600;4343957;building;Gameplay
105600;4343957;building;Innovation
105600;4343957;conquering;Gameplay
105600;2578924;fun multiplayer;Multiplayer
105600;2578924;fun multiplayer;Gameplay
105600;2578924;exploring caves;Gameplay
105600;2578924;fighting big bosses;Gameplay
105600;4227558;artistic Zelda-like feel;Graphics
105600;4227558;artistic Zelda-like feel;Story
105600;4227558;engaging gameplay for long sessions;Gameplay
105600;2054729;fun gameplay;Gameplay
105600;2054729;regular updates;Updates
105600;1240058;more enjoyable than Minecraft;Other
105600;346772;more combat;Gameplay
105600;346772;worth the price;Price
105600;99382;better than 2D Minecraft;Other
105600;99382;lots of loot;Gameplay
105600;99382;lots of loot;Innovation
105600;1420503;engaging new story content;Story
105600;1420503;engaging new story content;Updates
105600;1420503;beautiful graphics;Graphics
105600;1923270;beautiful graphics;Graphics
105600;1923270;engaging story;Story
105600;1923270;amazing world-building;Story
105600;1923270;well-written characters;Story
105600;4757117;good story;Story
105600;4757117;beautiful graphics;Graphics
105600;4757117;great soundtrack;Music
105600;4757117;responsive controls;Gameplay
105600;4757117;responsive controls;Optimization
105600;3355217;engaging new story content;Story
105600;3355217;engaging new story content;Updates
105600;3355217;improved graphics;Graphics
105600;3355217;improved graphics;Updates
105600;2310774;similar to minecraft;Other
105600;4800881;great gameplay;Gameplay
105600;4800881;enjoyable 2D platforming and exploration;Gameplay
105600;4690511;well-done new characters;Story
105600;4690511;well-done new characters;Music
105600;4690511;engaging story missions;Story
105600;4690511;engaging story missions;Gameplay
105600;586447;awesome game;Other
105600;248299;easy to learn;Gameplay
105600;248299;easy to learn;Optimization
105600;248299;fun early bosses;Gameplay
105600;248299;fun early bosses;Story
105600;3545401;similar to Minecraft;Other
105600;3545401;focus on adventure;Gameplay
105600;3545401;focus on adventure;Story
105600;1218800;high replayability;Gameplay
105600;1218800;good value for money;Price
105600;899717;beautiful new map;Story
105600;899717;beautiful new map;Gameplay
105600;899717;variety in new map;Gameplay
105600;899717;variety in new map;Story
105600;899717;fun new weapons;Gameplay
105600;899717;fun new weapons;Innovation
105600;1771483;fun gameplay;Gameplay
105600;1771483;enjoyable experience;Other
105600;1771483;better in multiplayer;Multiplayer
105600;1323762;beautiful graphics;Graphics
105600;1323762;great soundtrack;Music
105600;2507285;addictive gameplay;Gameplay
105600;2507285;randomly generated large worlds;Gameplay
105600;2507285;randomly generated large worlds;Innovation
105600;996410;open-world classic adventure;Gameplay
105600;996410;open-world classic adventure;Story
105600;996410;freedom to create and explore;Gameplay
105600;996410;freedom to create and explore;Innovation
105600;996410;easy server setup for multiplayer;Multiplayer
105600;996410;easy server setup for multiplayer;Optimization
105600;996410;rewarding exploration;Gameplay
105600;996410;no regretful decisions;Other
105600;996410;excellent game design;Gameplay
105600;996410;excellent game design;Innovation
105600;4802533;enjoyable gameplay;Gameplay
105600;674256;more content than Minecraft;Other
105600;674256;tiered progression system;Gameplay
105600;674256;tiered progression system;Innovation
105600;674256;interesting NPC spawning mechanics;Gameplay
105600;674256;interesting NPC spawning mechanics;Innovation
105600;674256;unique items with cool effects;Gameplay
105600;674256;unique items with cool effects;Innovation
105600;707964;retro styled 2D platforming action;Gameplay
105600;707964;retro styled 2D platforming action;Graphics
105600;707964;world sculpting;Gameplay
105600;707964;world sculpting;Innovation
105600;707964;treasure hunting in large, randomly generated environments;Gameplay
105600;707964;treasure hunting in large, randomly generated environments;Innovation
105600;707964;improved with content patches;Updates
105600;707964;improved with content patches;Optimization
105600;1791525;immersive atmosphere;Story
105600;1791525;engaging story;Story
105600;1791525;solid combat system;Gameplay
105600;1791525;beautiful graphics;Graphics
105600;4803236;engaging puzzles;Gameplay
105600;1354722;affordable price;Price
105600;655143;fun multiplayer;Multiplayer
105600;655143;fun multiplayer;Gameplay
105600;655143;powerful character progression;Gameplay
105600;894517;sandbox gameplay;Gameplay
105600;894517;sandbox gameplay;Innovation
105600;894517;building houses freely;Gameplay
105600;894517;building houses freely;Innovation
105600;894517;exploring randomly generated map;Gameplay
105600;894517;exploring randomly generated map;Innovation
105600;894517;tough bosses and good loot in dungeons;Gameplay
105600;894517;tough bosses and good loot in dungeons;Story
105600;894517;creating NPC towns;Gameplay
105600;894517;creating NPC towns;Story
105600;2065795;engaging story;Story
105600;2065795;interesting characters;Story
105600;2065795;fantastic world-building;Story
105600;2065795;immersive atmosphere;Story
105600;2065795;immersive atmosphere;Music
105600;2065795;beautiful graphics;Graphics
105600;84851;well-done new characters;Story
105600;84851;well-done new characters;Music
105600;84851;engaging story missions;Story
105600;84851;engaging story missions;Gameplay
105600;2643338;fun sandbox gameplay;Gameplay
105600;2643338;fun sandbox gameplay;Innovation
105600;2643338;RPG and adventure elements;Gameplay
105600;2643338;RPG and adventure elements;Story
105600;2643338;easy to learn;Gameplay
105600;2643338;easy to learn;Optimization
105600;3751635;interesting lore;Story
105600;3751635;improved graphics;Graphics
105600;3751635;improved graphics;Updates
105600;4795256;good story;Story
105600;4795256;beautiful graphics;Graphics
105600;4795256;fantastic soundtrack;Music
105600;4795256;vast and beautiful world;Story
105600;4795256;vast and beautiful world;Graphics
105600;4795256;well-written characters;Story
105600;674809;Metroidvania gameplay;Gameplay
105600;674809;Minecraft-style building;Gameplay
105600;674809;Minecraft-style building;Innovation
105600;1367137;engaging story;Story
105600;1367137;well-developed characters;Story
105600;1367137;stunning graphics;Graphics
105600;2559027;well-made game;Other
105600;2559027;enjoyable adventures and gameplay;Gameplay
105600;2559027;enjoyable adventures and gameplay;Story
105600;1380100;great RPG, building and crafting mechanics;Gameplay
105600;1380100;great RPG, building and crafting mechanics;Innovation
105600;1380100;worth the price;Price
105600;3607093;addictive gameplay;Gameplay
105600;2849953;engaging story;Story
105600;2849953;well-written characters;Story
105600;2849953;excellent voice acting;Music
105600;2849953;excellent voice acting;Story
105600;2849953;great soundtrack;Music
105600;2823938;satisfying experience;Other
105600;2823938;consistent gameplay;Gameplay
105600;2823938;high replayability;Gameplay
105600;2823938;flexible progression;Gameplay
105600;2823938;flexible progression;Innovation
105600;627610;beautiful graphics;Graphics
105600;627610;great soundtrack;Music
105600;1278986;funny and entertaining;Other
105600;4537324;beautiful graphics;Graphics
105600;4537324;great soundtrack;Music
105600;947847;creative freedom;Gameplay
105600;947847;creative freedom;Innovation
105600;947847;unique world generation;Gameplay
105600;947847;unique world generation;Innovation
105600;4643444;old-school D&D style;Story
105600;4643444;old-school D&D style;Innovation
105600;4643444;large combat and adventure focus;Gameplay
105600;4643444;variety of bosses;Gameplay
105600;4643444;variety of bosses;Story
105600;4643444;upgradable items;Gameplay
105600;4643444;upgradable items;Innovation
105600;4643444;special items;Other
105600;4643444;magic spells/weapons;Gameplay
105600;4643444;magic spells/weapons;Innovation
105600;3039682;many people own the game;Other
105600;825275;addictive gameplay;Gameplay
105600;825275;intuitive adventure mechanics;Gameplay
105600;825275;intuitive adventure mechanics;Innovation
105600;825275;zelda-like adventure with armor and weapons;Gameplay
105600;825275;zelda-like adventure with armor and weapons;Story
105600;825275;regular updates and new content;Updates
105600;3980020;great 2D gameplay;Gameplay
105600;2289708;endless gameplay;Gameplay
105600;2289708;constant quests for better loot and challenges;Gameplay
105600;2289708;constant quests for better loot and challenges;Story
105600;2289708;good value for money;Price
105600;2289708;active development;Updates
105600;860104;fun pre-hardmode;Gameplay
105600;860104;fun pre-hardmode;Story
105600;860104;lots to collect in pre-hardmode;Gameplay
105600;860104;lots to collect in pre-hardmode;Story
105600;233729;beautiful visuals;Graphics
105600;233729;well-written characters;Story
105600;233729;top-notch voice acting;Music
105600;233729;top-notch voice acting;Story
105600;233729;engaging puzzles;Gameplay
105600;233729;great soundtrack;Music
105600;4799761;engaging story;Story
105600;4799761;memorable characters;Story
105600;4799761;excellent voice acting;Music
105600;4799761;excellent voice acting;Story
105600;4799761;great soundtrack;Music
105600;4799761;beautiful graphics;Graphics
105600;4072648;good updates;Updates
105600;926668;unique gameplay combination;Gameplay
105600;926668;unique gameplay combination;Innovation
105600;3858307;great value for money;Price
105600;3858307;excellent gameplay;Gameplay
105600;3571212;diverse gameplay possibilities;Gameplay
105600;3571212;unique game design inspired by Minecraft;Innovation
105600;3571212;unique game design inspired by Minecraft;Gameplay
105600;3571212;retro-styled 2D graphics;Graphics
105600;3571212;retro-styled 2D graphics;Innovation
105600;3571212;atmospheric day and night cycles;Graphics
105600;3571212;atmospheric day and night cycles;Story
105600;3571212;sinister night atmosphere;Story
105600;3571212;sinister night atmosphere;Graphics
105600;3571212;boss battles;Gameplay
105600;3460327;affordable price;Price
105600;3460327;fun item and monster system;Gameplay
105600;3460327;fun item and monster system;Innovation
105600;645342;fun gameplay;Gameplay
105600;2835520;impressive world generation;Gameplay
105600;2835520;impressive world generation;Innovation
105600;2835520;deep and satisfying crafting system;Gameplay
105600;2835520;deep and satisfying crafting system;Innovation
105600;2835520;fun multiplayer;Multiplayer
105600;2835520;fun multiplayer;Gameplay
105600;2615546;awesome gameplay;Gameplay
105600;1180205;unique gameplay ideas;Gameplay
105600;1180205;unique gameplay ideas;Innovation
105600;1180205;enjoyable experience;Other
105600;1320444;fun co-op;Multiplayer
105600;1320444;fun co-op;Gameplay
105600;1320444;Metroidvania gameplay;Gameplay
105600;921161;engaging gameplay;Gameplay
105600;921161;beautiful graphics;Graphics
105600;921161;great soundtrack;Music
105600;2016071;great value for money;Price
105600;2016071;fun gameplay;Gameplay
105600;2016071;regular free updates;Updates
105600;2016071;high playtime hours;Other
105600;2016071;adventure and exploration;Gameplay
105600;2016071;creative building and shaping;Gameplay
105600;2016071;creative building and shaping;Innovation
105600;2281096;amazing soundtrack;Music
105600;2281096;good voice acting;Music
105600;2281096;good voice acting;Story
105600;914344;2D Minecraft-like gameplay;Gameplay
105600;914344;2D Minecraft-like gameplay;Innovation
105600;914344;crazy weapons;Gameplay
105600;914344;crazy weapons;Innovation
105600;914344;boss battles;Gameplay
105600;914344;multiplayer fun with friends;Multiplayer
105600;914344;multiplayer fun with friends;Gameplay
105600;914344;randomized worlds to explore;Gameplay
105600;914344;randomized worlds to explore;Innovation
105600;2506581;affordable price;Price
105600;2506581;enjoyable if you like Minecraft;Other
105600;1050161;kept entertained beyond first glance;Other
105600;1050161;fun with better equipment;Gameplay
105600;1050161;fun with better equipment;Innovation
105600;1050161;good value for money;Price
105600;1641989;addictive gameplay;Gameplay
105600;1641989;enjoyable multiplayer with friends;Multiplayer
105600;1641989;enjoyable multiplayer with friends;Gameplay
105600;659402;fun gameplay;Gameplay
105600;659402;encourages exploration;Gameplay
105600;2662882;addictive gameplay;Gameplay
105600;2662882;randomly-generated world with many adventures;Gameplay
105600;2662882;randomly-generated world with many adventures;Story
105600;2662882;many items to collect;Gameplay
105600;2662882;many items to collect;Story
105600;4508873;well-designed new characters;Story
105600;4508873;well-designed new characters;Innovation
105600;4508873;engaging story missions;Story
105600;4508873;engaging story missions;Gameplay
105600;3419550;fun with friends;Multiplayer
105600;3419550;fun with friends;Other
105600;3419550;fighting off hordes of monsters;Gameplay
105600;3419550;unique collectibles to find;Gameplay
105600;3419550;unique collectibles to find;Innovation
105600;3419550;long playtime;Other
105600;762857;evolving gameplay;Gameplay
105600;762857;evolving gameplay;Innovation
105600;762857;upcoming content;Updates
105600;3095260;fun gameplay;Gameplay
105600;705709;unique gameplay blend;Gameplay
105600;705709;unique gameplay blend;Innovation
105600;705709;great value for money;Price
105600;3280826;great game;Other
105600;3731266;inspired by classic games;Other
105600;3731266;exploring and discovering NPCs;Gameplay
105600;3731266;exploring and discovering NPCs;Story
105600;3731266;variety of monsters and bosses;Gameplay
105600;3731266;variety of monsters and bosses;Story
105600;3731266;fun crafting system for weapons and armor;Gameplay
