appid;recommendationid;aspect;labels
105600;4801866;difficult to find online servers;Multiplayer
105600;4801866;difficult to find online servers;Optimization
105600;1102083;sluggish and unresponsive controls;Gameplay
105600;1102083;sluggish and unresponsive controls;Optimization
105600;1102083;significant frame rate drops during intense scenes;Optimization
105600;1102083;significant frame rate drops during intense scenes;Gameplay
105600;1102083;poor optimization;Optimization
105600;671610;sluggish and unresponsive controls;Gameplay
105600;671610;sluggish and unresponsive controls;Optimization
105600;671610;confusing story at times;Story
105600;671610;too many bugs in multiplayer;Bugs
105600;671610;too many bugs in multiplayer;Multiplayer
105600;3296124;sluggish controls;Gameplay
105600;3296124;sluggish controls;Optimization
105600;3296124;confusing map design;Gameplay
105600;3296124;confusing map design;Optimization
105600;4453618;sluggish and unresponsive controls;Gameplay
105600;4453618;sluggish and unresponsive controls;Optimization
105600;4453618;frustrating combat;Gameplay
105600;4453618;occasional frame rate drops;Optimization
105600;1109639;boring gameplay;Gameplay
105600;1109639;annoying gameplay;Gameplay
105600;940254;bland characters;Story
105600;940254;bland characters;Other
105600;940254;clunky combat;Gameplay
105600;940254;some obscure puzzles;Gameplay
105600;940254;some obscure puzzles;Innovation
105600;940254;finicky camera;Gameplay
105600;940254;finicky camera;Optimization
105600;2930285;frequent crashes;Bugs
105600;2930285;frequent crashes;Updates
105600;2930285;boring repetitive content;Gameplay
105600;2930285;boring repetitive content;Story
105600;2930285;rushed shallow story missions;Story
105600;2930285;rushed shallow story missions;Optimization
105600;2930285;worse graphics;Graphics
105600;1228279;torches decrease luck;Gameplay
105600;1228279;torches decrease luck;Innovation
105600;1228279;FPS drop on weaker computers;Optimization
105600;1228279;FPS drop on weaker computers;Gameplay
105600;1228279;nerfed fishing and weapons;Gameplay
105600;1228279;nerfed fishing and weapons;Updates
105600;1228279;expensive housing due to NPC preferences;Gameplay
105600;1228279;expensive housing due to NPC preferences;Story
105600;1228279;corruption ruins jungles;Story
105600;1228279;corruption ruins jungles;Graphics
105600;1228279;new mounts locked to master mode;Gameplay
105600;1228279;new mounts locked to master mode;Story
105600;1073750;sluggish controls;Gameplay
105600;1073750;sluggish controls;Optimization
105600;1073750;small map;Gameplay
105600;1073750;small map;Other
105600;1073750;limited character customization;Gameplay
105600;1073750;limited character customization;Innovation
105600;1073750;unbalanced gameplay;Gameplay
105600;1073750;unbalanced gameplay;Optimization
105600;1073750;too many bugs;Bugs
105600;1073750;too many bugs;Updates
105600;1073750;bugs in multiplayer;Bugs
105600;1073750;bugs in multiplayer;Multiplayer
105600;337342;2D Minecraft;Innovation
105600;337342;2D Minecraft;Graphics
105600;2368440;multiplayer has kinks;Multiplayer
105600;2368440;multiplayer has kinks;Bugs
105600;2368440;game is ripe for griefing in multiplayer;Multiplayer
105600;2368440;game is ripe for griefing in multiplayer;Other
105600;1692962;flat characters;Story
105600;1692962;poor enemy AI;Gameplay
105600;1692962;poor enemy AI;Optimization
105600;1692962;frequent crashes and bugs;Bugs
105600;1692962;frequent crashes and bugs;Updates
105600;2341529;sluggish controls;Gameplay
105600;2341529;sluggish controls;Optimization
105600;2341529;confusing map design;Gameplay
105600;2341529;confusing map design;Optimization
105600;2341529;long loading times;Optimization
105600;4117464;useless in-game guide;Gameplay
105600;4117464;useless in-game guide;Story
105600;4823101;slower gameplay;Gameplay
105600;4823101;slower gameplay;Optimization
105600;4823101;boring new quests;Story
105600;4823101;boring new quests;Updates
105600;4823101;occasional crashes;Bugs
105600;4823101;occasional crashes;Updates
105600;106366;sluggish controls;Gameplay
105600;106366;sluggish controls;Optimization
105600;106366;confusing map design;Gameplay
105600;106366;confusing map design;Optimization
105600;2390739;difficult;Gameplay
105600;2712388;clunky controls;Gameplay
105600;2712388;clunky controls;Optimization
105600;2712388;performance issues;Optimization
105600;2712388;occasional bugs;Bugs
105600;2712388;occasional bugs;Updates
105600;4811676;sluggish controls;Gameplay
105600;4811676;sluggish controls;Optimization
105600;4811676;confusing map design;Gameplay
105600;4811676;confusing map design;Optimization
105600;2638345;sluggish controls;Gameplay
105600;2638345;sluggish controls;Optimization
105600;2638345;frustrating combat;Gameplay
105600;2638345;confusing map design;Gameplay
105600;2638345;confusing map design;Optimization
105600;4406793;slow start;Story
105600;4406793;slow start;Gameplay
105600;1651295;cluttered gameplay;Gameplay
105600;1651295;cluttered gameplay;Optimization
105600;4122771;clunky gameplay mechanics;Gameplay
105600;4122771;clunky gameplay mechanics;Optimization
105600;4122771;unresponsive controls;Gameplay
105600;4122771;unresponsive controls;Optimization
105600;4122771;poor pacing in the story;Story
105600;4122771;finicky controls;Gameplay
105600;4122771;finicky controls;Optimization
105600;2418611;clunky combat mechanics;Gameplay
105600;2418611;long loading times;Optimization
105600;4667319;difficulty for new players;Gameplay
105600;4667319;steep learning curve;Gameplay
105600;4667319;feeling lost in the game;Gameplay
105600;4667319;feeling lost in the game;Story
105600;4667319;clunky console controls;Gameplay
105600;4667319;clunky console controls;Optimization
105600;4667319;performance issues;Optimization
105600;4797958;long loading times;Optimization
105600;4797958;clunky controls;Gameplay
105600;4797958;clunky controls;Optimization
105600;4797958;performance issues;Optimization
105600;1743094;potential multiplayer imbalance due to persistent items;Multiplayer
105600;1743094;potential multiplayer imbalance due to persistent items;Gameplay
105600;399433;non-functional international keyboard keys;Bugs
105600;399433;non-functional international keyboard keys;Optimization
105600;399433;cannot exit chat with ESC key;Bugs
105600;399433;cannot exit chat with ESC key;Optimization
105600;399433;limited server management options;Multiplayer
105600;399433;limited server management options;Optimization
105600;4806324;sluggish controls;Gameplay
105600;4806324;sluggish controls;Optimization
105600;4806324;confusing map design;Gameplay
105600;4806324;confusing map design;Optimization
105600;1367705;enemies spawn even in the light;Gameplay
105600;1367705;enemies spawn even in the light;Bugs
105600;1367705;constant danger from enemies and hazards;Gameplay
105600;1367705;limited building compared to Minecraft;Gameplay
105600;1367705;limited building compared to Minecraft;Innovation
105600;4809893;sluggish and unresponsive controls;Gameplay
105600;4809893;sluggish and unresponsive controls;Optimization
105600;4809893;occasional frame rate drops;Optimization
105600;4809893;frustrating combat;Gameplay
105600;1956802;2D sidescrolling gameplay;Gameplay
105600;1188651;blurry graphics;Graphics
105600;1188651;sluggish controls;Gameplay
105600;1188651;sluggish controls;Optimization
105600;1188651;game freezes;Bugs
105600;1188651;game freezes;Optimization
105600;2090914;constant crashes;Bugs
105600;2090914;constant crashes;Updates
105600;2090914;awful new character models;Graphics
105600;2090914;awful new character models;Updates
105600;2090914;terrible sound effects;Music
105600;3431553;blocked from Terraria Facebook page;Other
105600;3431553;developers ignoring issue;Updates
105600;3431553;developers ignoring issue;Bugs
105600;2847403;downgraded graphics;Graphics
105600;2847403;downgraded graphics;Updates
105600;2847403;sluggish controls;Gameplay
105600;2847403;sluggish controls;Optimization
105600;2847403;occasional game crashes;Bugs
105600;2847403;occasional game crashes;Updates
105600;1001395;lack of content;Other
105600;1001395;shallow story;Story
105600;1001395;one-dimensional characters;Story
105600;1001395;one-dimensional characters;Other
105600;1001395;finicky camera;Gameplay
105600;1001395;finicky camera;Optimization
105600;3665946;sluggish controls;Gameplay
105600;3665946;sluggish controls;Optimization
105600;3665946;long loading times;Optimization
105600;3665946;repetitive side quests;Story
105600;4701530;compared to Minecraft;Other
105600;246531;lack of content;Other
105600;246531;shallow story;Story
105600;246531;bland characters;Story
105600;246531;bland characters;Other
105600;246531;frequent crashes and bugs;Bugs
105600;246531;frequent crashes and bugs;Updates
105600;1091837;rough around the edges;Other
105600;456325;shallow story;Story
105600;456325;clunky controls;Gameplay
105600;456325;clunky controls;Optimization
105600;456325;long loading screens;Optimization
105600;4794275;clunky combat mechanics;Gameplay
105600;4794275;unresponsive controls;Gameplay
105600;4794275;unresponsive controls;Optimization
105600;4794275;long loading times;Optimization
105600;985019;boring and predictable story;Story
105600;985019;one-dimensional characters;Story
105600;985019;sluggish combat;Gameplay
105600;985019;sluggish combat;Optimization
105600;985019;awkward camera angles;Gameplay
105600;985019;awkward camera angles;Optimization
105600;1605531;not a real game;Other
105600;1279695;safer above ground than below;Gameplay
105600;1279695;safer above ground than below;Story
105600;1895747;worse graphics;Graphics
105600;1895747;sluggish controls;Gameplay
105600;1895747;sluggish controls;Optimization
105600;546235;performance issues with many enemies;Optimization
105600;546235;performance issues with many enemies;Gameplay
105600;546235;clunky controls;Gameplay
105600;546235;clunky controls;Optimization
105600;2356153;overrated game;Other
105600;3335433;comparison to Minecraft;Other
105600;1573554;slow initial learning curve;Gameplay
105600;1573554;slow initial learning curve;Optimization
105600;1840926;clunky and unresponsive controls;Gameplay
105600;1840926;clunky and unresponsive controls;Optimization
105600;1840926;rushed story parts;Story
105600;1840926;rushed story parts;Optimization
105600;1840926;poor enemy AI;Gameplay
105600;1840926;poor enemy AI;Optimization
105600;1471762;clunky combat mechanics;Gameplay
105600;1471762;poor enemy AI;Gameplay
105600;1471762;poor enemy AI;Optimization
105600;1471762;long loading times;Optimization
105600;1361436;rushed parts in the story;Story
105600;1361436;frustrating camera angles;Gameplay
105600;1361436;frustrating camera angles;Optimization
105600;3967832;lost initial appeal over time;Other
105600;3967832;repetitive gameplay when played too long;Gameplay
105600;3967832;repetitive gameplay when played too long;Other
105600;915485;less focus on building compared to Minecraft;Other
105600;2871640;bland story;Story
105600;2871640;one-dimensional characters;Story
105600;2871640;clunky combat;Gameplay
105600;2871640;outdated graphics;Graphics
105600;2871640;outdated graphics;Optimization
105600;2871640;empty world;Story
105600;2871640;empty world;Gameplay
105600;214004;sluggish and unresponsive controls;Gameplay
105600;214004;sluggish and unresponsive controls;Optimization
105600;214004;frustrating combat;Gameplay
105600;214004;occasional frame rate drops;Optimization
105600;1019177;limited reason to build beyond NPC housing;Gameplay
105600;1019177;limited reason to build beyond NPC housing;Story
105600;46512;accidental flooding of kingdom;Story
105600;46512;accidental flooding of kingdom;Bugs
105600;1215776;bland characters;Story
105600;1215776;bland characters;Other
105600;1215776;clunky combat;Gameplay
105600;1215776;terrible matchmaking system;Multiplayer
105600;1215776;terrible matchmaking system;Gameplay
105600;1215776;too many bugs and glitches;Bugs
105600;1215776;too many bugs and glitches;Updates
105600;527668;lag issues due to net coding;Multiplayer
105600;527668;lag issues due to net coding;Optimization
105600;1945909;clunky combat system;Gameplay
105600;1945909;clunky combat system;Optimization
105600;1945909;unresponsive controls;Gameplay
105600;1945909;unresponsive controls;Optimization
105600;1945909;vague puzzles;Gameplay
105600;1429803;monsters attacking at night;Gameplay
105600;1429803;monsters attacking at night;Story
105600;907799;short-term enjoyment;Other
105600;2137916;clunky controls;Gameplay
105600;2137916;clunky controls;Optimization
105600;2137916;game is too short;Other
105600;4502781;bland uninspired map;Gameplay
105600;4502781;bland uninspired map;Story
105600;4502781;tedious exploration;Gameplay
105600;4502781;easy enemies;Gameplay
